weekday,mean_response_time
Monday,315.99425297365076
Tuesday,322.61204076389481
Wednesday,316.09386612369559
Thursday,314.73570080106128
Friday,321.98723300179358
Saturday,311.31462396451633
Sunday,310.30779112561629
