battalion,mean_m_per_s
B01,0.85906281705433374
B02,0.93885267270625816
B03,0.82422640972202388
B04,0.82863975252071209
B05,0.75724242540919562
B06,0.62013599055383506
B07,0.71580924782143895
B08,0.68612773006263206
B09,0.64876844807640022
B10,0.66870369695439913
