month,mean_m_per_s
January,0.74810005981792216
February,0.78601693291720631
March,0.75006290530614939
April,0.70046569262433356
May,0.91628012548213733
June,0.75079338083592817
July,0.68080617419705136
August,0.75963533683802764
September,0.99005696949571009
October,0.79709298008004248
November,0.71729762607596037
December,0.79279843850871756
