year,mean_response_time
2003,241.70768099512853
2004,234.11528510814446
2005,241.63632689057104
2006,244.23040256209734
2007,360.30044016787798
2008,360.43968452505038
2009,340.98642301230842
2010,339.67753695234308
2011,335.70063465061503
2012,333.9186127903277
2013,343.88719126556157
2014,365.22622377622378
2015,350.40863914373091
2016,330.20403822343565
