year,mean_m_per_s
2003,0.54872791888889483
2004,0.62148529699336463
2005,0.57959047372042771
2006,0.660198106465963
2007,1.1981648123169897
2008,0.87561222822892915
2009,0.90145585769491587
2010,0.75942633830369788
2011,0.74126950902503685
2012,0.7343207876571336
2013,0.78305283320018859
2014,0.92534971825060841
2015,0.81557689170848902
2016,0.8256021229713183
