weekday,mean_m_per_s
Monday,0.92640449672806335
Tuesday,0.78924795200368703
Wednesday,0.84524818848126659
Thursday,0.72904334838959817
Friday,0.76054362546765497
Saturday,0.72198332368287321
Sunday,0.70771186327703528
