battalion,mean_response_time
B01,288.28949580693444
B02,304.60064868321876
B03,355.49498960978991
B04,296.2624171065097
B05,289.60682437909941
B06,314.07303870859096
B07,339.93046422039765
B08,362.27455064873232
B09,352.15895552835576
B10,339.89787284052181
