multiple_regression,mean_value
100.97377797109756,103.69826099889831
100.34427466916257,102.9692019880947
101.73520206544212,104.58904894446692
100.74360857058231,103.44185601688096
102.57865320328678,105.33849723323878
101.65734802758284,104.53023116591216
102.33345420295743,105.11508014321953
102.01713271320224,104.83991030304706
101.67332543910781,104.20871107439851
102.05621355264077,105.11388475474565
